gene,variant,transcript,inferred_classification,diagnostic_assertions,prognostic_assertions,therapeutic_assertions,trial_ids,diseases,kb_version,source_file,record_id,extraction_timestamp
ATM,,ENST00000534358.1,Unknown,,,,,Ataxia-telangiectasia (208900); Breast cancer susceptibility (114480),,pipeline_variants_clinvar_20230801.csv,record_0001,2025-08-24T13:19:30.209312
ATM,,ENST00000534358.1,Unknown,,,,,Ataxia-telangiectasia (208900); Breast cancer susceptibility (114480),,pipeline_variants_cosmic_v97.csv,record_0002,2025-08-24T13:19:30.209327
